Product_Name,Rating,No_Of_Ratings,Specifications,Price,Original_Price,Discount,Page
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",4.4,"40,115 Ratings & 1,193 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹11,999","₹13,999",14% off,1
"MOTOROLA g35 5G (Leaf Green, 128 GB)",4.2,"1,17,212 Ratings & 7,254 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,"₹9,999","₹12,499",20% off,1
"POCO C71 (Power Black, 64 GB)",3.9,"54,664 Ratings & 2,462 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","₹6,799","₹8,999",24% off,1
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",4.3,"21,401 Ratings & 912 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,"₹13,499","₹19,999",32% off,1
"MOTOROLA g05 (Plum Red, 64 GB)",4.2,"75,469 Ratings & 4,605 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5100 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹7,299","₹9,999",27% off,1
"POCO F7 5G (Phantom Black, 512 GB)",4.4,"19,286 Ratings & 1,876 Reviews","12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera | 20MP Front Camera7550 mAh Li-Polymer + Silicon Carbon Battery8s Gen 4 ProcessorRear Camera -50MP Main Camera -8MP Ultra-wide Camera with night mode and ultra-wide video recordingFront camera -20MP with Portrait Mode | | Front Video Recording | Night ModeDisplay -6.83 inch 1.5K pOLED with 120 Hz refresh rateBattery 7550mAh, 90W charger, 22.5W reverse charging1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","₹33,999","₹37,999",10% off,1
"POCO C71 (Cool Blue, 128 GB)",4.1,"30,602 Ratings & 1,450 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","₹7,499","₹9,999",25% off,1
"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)",4.3,"25,203 Ratings & 1,645 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Super HD Display50MP + 8MP | 32MP Front Camera6720 mAh BatteryDimensity 7400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹17,999","₹19,999",10% off,1
"MOTOROLA g35 5G (Guava Red, 128 GB)",4.2,"1,17,212 Ratings & 7,254 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,"₹9,999","₹12,499",20% off,2
"MOTOROLA g57 power 5G (Pantone Corsair, 128 GB)",4.4,"6,095 Ratings & 368 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 8MP Front Camera7000 mAh Battery6s Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹14,999","₹17,999",16% off,2
"POCO M7 5G (Ocean Blue, 128 GB)",4.3,"15,304 Ratings & 742 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,999","₹13,999",21% off,2
"MOTOROLA g35 5G (Midnight Black, 128 GB)",4.3,"5,844 Ratings & 274 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,"₹12,499","₹15,499",19% off,2
"POCO C71 (Power Black, 128 GB)",4.1,"30,602 Ratings & 1,450 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","₹7,499","₹9,999",25% off,2
"vivo T4x 5G (Glacial Teal, 128 GB)",4.4,"1,98,854 Ratings & 8,775 Reviews",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹15,499","₹17,999",13% off,2
"OnePlus Nord 5 5G (Marble Sands, 256 GB)",4.5,"1,948 Ratings & 130 Reviews",8 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 50MP Front Camera6800 mAh BatteryQualcomm® Snapdragon™ 8s Gen 3 Mobile Platform Processor1 Year manufacturer,"₹33,924","₹34,999",3% off,2
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",4.4,"1,13,807 Ratings & 5,910 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹22,999","₹25,999",11% off,2
"POCO M7 5G (Mint Green, 128 GB)",4.1,"70,470 Ratings & 3,269 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,999","₹12,999",23% off,2
"Samsung M06 5G (Sage Green, 128 GB)",4,702 Ratings & 52 Reviews,6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,955","₹13,999",14% off,2
"realme C71 (Sea Blue, 128 GB)",4.2,"7,929 Ratings & 306 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹9,699","₹10,999",11% off,2
"MOTOROLA G86 Power 5G (Pantone Golden Cypress, 128 GB)",4.3,"25,203 Ratings & 1,645 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Super HD Display50MP + 8MP | 32MP Front Camera6720 mAh BatteryDimensity 7400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹17,999","₹19,999",10% off,2
"vivo T4R 5G (Twilight Blue, 256 GB)",4.5,"50,188 Ratings & 2,250 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera5700 mAh BatteryDimensity 7400 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹22,999","₹24,999",8% off,2
"vivo T4x 5G (Marine Blue, 256 GB)",4.4,"1,48,345 Ratings & 7,016 Reviews",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹18,499","₹20,999",11% off,2
"Ai+ Pulse (Black, 64 GB)",4.3,"40,425 Ratings & 2,483 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,"₹6,499","₹7,999",18% off,2
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)",4.4,"10,295 Ratings & 417 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹11,749","₹13,999",16% off,2
